,Title,Author,Description,Pages,Publication year,Publisher,Cover,Category,Subcategory,Price
74, نهج البلاغة;فرنسي-عربي, علي بن أبي طالب, None,731,0, الشركة العالمية للكتاب, غلاف فني,الأدب والخيال,الأدب الإسلامي,56.25
76, الانقلاب العثماني, جرجي زيدان," روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""الانقلاب العثماني"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف لأحوال الأحرار العثمانيين وجمعياتهم السرية، وما قاسوه في طلب الدستور. ووصف لـ""يلدز"" وقصورها وحدائقها و""عبد الحميد"" وجواسيسه وأعوانه، وسائر أحواله إلى فوز جمعية الاتحاد والترقي بنيل الدستور في 23 تموز (يوليو) سنة 1908. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""الانقلاب العثماني"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على وصف لأحوال الأحرار العثمانيين وجمعياتهم السرية، وما قاسوه في طلب الدستور. ووصف لـ""يلدز"" وقصورها وحدائقها و""عبد الحميد"" وجواسيسه وأعوانه، وسائر أحواله إلى فوز جمعية الاتحاد والترقي بنيل الدستور في 23 تموز (يوليو) سنة 1908.",160,0, دار البشير للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,18.75
77, الطيبات من الرزق, ابي ذر القلموني, None,256,2008, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,18.75
78, إيقاع الفكر, أحمد الوائلي, None,341,0, دار الصفوة, غلاف فني,الأدب والخيال,الأدب الإسلامي,26.25
80, ديوان عبق من كربلاء, محمد رضا الموسوي القزويني, None,296,0, دار القارئ, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,26.25
81, تدبر سورة النور, ناصر  العمر, None,96,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,10.13
82, قراءات تحليلية في خطاب تمبكتو, معمر القذافي, None,200,0, جمعية الدعوة الإسلامية العالمية, غلاف عادي,الأدب والخيال,الأدب الإسلامي,37.5
83, مشكلة خلق القرآن عند المتكلمين, عادل الشيرواني, None,236,2010, دار دجلة ناشرون وموزعون, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,56.25
86, اﻷخلاق بين اﻷديان والفلسفة, كريمة دوز, لأخلاق حاجة ملحة للإنسان، تجعله يوفّق بين حاجاته وحاجات الجمع، بل تجعله يخاطر بنفسه لخير يعلو خيرات آنية، لذلك فلابد أن تكون الأخلاق نفسها بحاجة إ لى مصدر وجداني دائم، فهو يختار بين دين -كما فعلت جماهير بني آدم- أو فلسفة يضعها رجل ثم يهدمها غيره، وإلا فحياة بهيمية لا محالة. ومن البيّن أن الإيمان بسماوية الأخلاق أعمق وأكثر اتساقا معرفيا ونفسيا، فشتان بين دين يقول بأن الاهتمام بالضعفاء والإحسان إليهم سبب للنصر والرزق، وبين من لا يمتلك أدنى حجة لإدانة قتل طفل لمجرد إعاقته. عرضلى مصدر وجداني دائم، فهو يختار بين دين -كما فعلت جماهير بني آدم- أو فلسفة يضعها رجل ثم يهدمها غيره، وإلا فحياة بهيمية لا محالة. ومن البيّن أن الإيمان بسماوية الأخلاق أعمق وأكثر اتساقا معرفيا ونفسيا، فشتان بين دين يقول بأن الاهتمام بالضعفاء والإحسان إليهم سبب للنصر والرزق، وبين من لا يمتلك أدنى حجة لإدانة قتل طفل لمجرد إعاقته.,284,2016, دار الكاتب, غير متوفر,الأدب والخيال,الأدب الإسلامي,42.45
87, أرمانوسة المصرية, جرجي زيدان," روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أرمانوسة المصرية"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تفاصيل فتح ""مصر"" و""الإسكندرية"" على يد ""عمرو بن العاص"" في صدر الإسلام (640م) مع بسط حال العرب وعاداتهم وأخلاقهم وأزيائهم وحال الأقباط والرومان في ذلك العصر. عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""أرمانوسة المصرية"" يدخل ضمن كتب هذه السلسلة وهو يشتمل على تفاصيل فتح ""مصر"" و""الإسكندرية"" على يد ""عمرو بن العاص"" في صدر الإسلام (640م) مع بسط حال العرب وعاداتهم وأخلاقهم وأزيائهم وحال الأقباط والرومان في ذلك العصر.",192,0, دار البشير للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,18.75
88, الطريق إلى القرآن, إبراهيم السكران, None,128,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,4.88
89, روائع من أدب الدعوة في القرآن والسيرة, أبي الحسن علي الحسني الندوي, None,152,0, الدار الشامية للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,11.25
90, دعوة غير المسلمين إلى الإسلام في المجتمع الإسلامي, عبدالله  اللحيدان, None,523,2017, دار الحضارة للنشر والتوزيع _ السعودية, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,25.13
91, صورة الرسول صلى الله عليه وسلم في القرآن بين الملك والإنسان, سامي الموصلي, None,216,2013, دار دجلة ناشرون وموزعون, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,56.25
92, رواد عالم الآثار في العراق, سالم الآلوسي, None,288,2016, دار الوراق للطباعة والنشر – لبنان, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,48.75
94, الدر الموصول في مدح آل الرسول, لا يوجد, None,164,0, دار المحجة البيضاء للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,11.25
96, مواقف دعا فيها النبي صلى الله عليه وسلم, حسن  همام, None,224,2016, دار الحضارة للنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,19.88
98, تدبر سورة القصص, ناصر  العمر, None,100,2017, دار الحضارة للنشر والتوزيع _ السعودية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,12.0
99, مجالس الشعراء في غدير إمام البلغاء، الروض النضير في الشعر المنتخب من كتاب الغدير, عبد الحسين الأميني, None,626,0, دار المحجة البيضاء للطباعة والنشر والتوزيع, غلاف فني,الأدب والخيال,الأدب الإسلامي,45.0
101, قصص اولي العزم من الرسل, ليلى بلخير, None,342,2014, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,22.5
102, البوصلة القرآنية, أحمد خيري العمري, إبحار مختلف بحثًا عن الخريطة المفقودة … إنها البوصلة الهادية إلى الطريق الصحيح في لُججِ البحار، أو في متاهات الأرض.. بل وفي ضياع النفس الإنسان ية هنا وهناك لا تصل إلى غايتها السعيدة. وهي بوصلة لا تكون إلا بيد مَن يحسنُ استخدامَها الاستخدامَ الأمثل، لتهتدي إلى الطريق الذي رسمه الله، فإذا أضاعها المسلمون بطول الأمد والركون إلى الأفكار القديمة البالية، يمكن لغيرهم أن يسترشد بها ويصل إلى القصد السويّ.. إلى حيث أراد الله. إنَّ على الأمة أن تتحسَّسَ هذا البوصلة الموصلة، التي علاها الصدأ، فأساؤوا استخدامها.ـ عرضية هنا وهناك لا تصل إلى غايتها السعيدة. وهي بوصلة لا تكون إلا بيد مَن يحسنُ استخدامَها الاستخدامَ الأمثل، لتهتدي إلى الطريق الذي رسمه الله، فإذا أضاعها المسلمون بطول الأمد والركون إلى الأفكار القديمة البالية، يمكن لغيرهم أن يسترشد بها ويصل إلى القصد السويّ.. إلى حيث أراد الله. إنَّ على الأمة أن تتحسَّسَ هذا البوصلة الموصلة، التي علاها الصدأ، فأساؤوا استخدامها.ـ,448,2016, مركز التفكير الحر, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,60.0
104, نوازل اجتماعية معاصرة, غازي الشمري, None,173,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,19.88
105, شرح خطبة الزهراء, النعمان ، التبريزي, هي شرح خطبة السيدة الزهراء كلّ عنها ألسن فحول الوضحاء ووقف دون بلوغ غايته أخطار فطاحل البلغاء وقد شرحها الكثيرون منها الكتاب هذا والذي يحوي على شر وحثلاثة من كبار علماء المسمين عرضوحثلاثة من كبار علماء المسمين,532,2009, مؤسسة البلاغ للطباعة والنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,48.75
106, أنوار الذكر الحكيم, عبدالله العواضي, None,143,2017, دار الحضارة للنشر والتوزيع _ السعودية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,15.0
107, من أروع ما قاله الإمام الرضا عليه السلام, محسن عقيل, None,496,0, دار المحجة البيضاء للطباعة والنشر والتوزيع, غلاف فني,الأدب والخيال,الأدب الإسلامي,13.5
108, الحق المر, محمد الغزالي, هذه طائفة من الكلمات التى سطرتها تعليقا على ما يقع بالعالم الإسلامى أو ما يقع عليه! إن الذى أغرى بتأليفها وتجديدها تشابه الآلام والأزمات  التى تعرض لأمتنا فى حاضرها وماضيها! فالمناسبات باقية! ما اكثر الأخطاء التى تستقر بين الناس لأنها لم تجد من يصحهها فور عرضالتى تعرض لأمتنا فى حاضرها وماضيها! فالمناسبات باقية! ما اكثر الأخطاء التى تستقر بين الناس لأنها لم تجد من يصحهها فور,176,2009, دار الشروق – مصر, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,24.0
110, رعاية البيئة في السنة النبوية (4), محمد بن عبد الرزاق اسود, None,136,2017, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,18.75
111, القصص المعنوية عند الشهيد مطهري, لطيف الراشدي, None,396,0, دار الكاتب العربي للطباعة والنشر, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,26.25
112, تعزيز البعد الإنساني في العمل البلدي الرياض (1), عبدالعزيز بن محمد بن عياف, كتاب يتناول البعد الإنساني في العمل البلدي ونشأته وتطوره، مستحضراً تجربة وبرامج النسنة في مدينة الرياض التي قامت عليها أمانة منطقة الرياض في فترة  سمو الأمير الدكتور عبدالعزيز بن محمد بن عياف أمين منطة الرياض الأسبق عرضسمو الأمير الدكتور عبدالعزيز بن محمد بن عياف أمين منطة الرياض الأسبق,144,2016, تارة الدولية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,90.01
113, جهاد المحبين, جرجي زيدان," روايات تاريخ الإسلام"" سلسلة من الروايات التاريخية تصور مراحل التاريخ الإسلامي منذ ظهور الإسلام روعي فيها عنصر التشويق مع التزام الحوادث التاريخ ية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""جهاد المحبين"" يدخل ضمن كتب هذه السلسلة وهو يعتني بتصوير مأساة من مآسي المحبين، وما يقاسونه في سبيل الحب، ثم كيف يجزون على صبرهم ووفائهم، وتدور الدوائر على أهل البغي والعدوان عرضية التزاماً دقيقاً من حيث الزمان والمكان والأشخاص مع وصف ما يتخللها من عادات وأخلاق وهذا الكتاب ""جهاد المحبين"" يدخل ضمن كتب هذه السلسلة وهو يعتني بتصوير مأساة من مآسي المحبين، وما يقاسونه في سبيل الحب، ثم كيف يجزون على صبرهم ووفائهم، وتدور الدوائر على أهل البغي والعدوان...",128,0, دار البشير للطباعة والنشر والتوزيع, غلاف عادي,الأدب والخيال,الأدب الإسلامي,18.75
114, ذوق الصلاة عند ابن القيم رحمه الله, عادل  الزرقي, None,96,2016, دار الحضارة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,10.13
115, عرائس الأفكار في مدائح المختار, أبي العباس الحلبي, كتاب في المدائح النبوية يتناول ديوانا في هذا المجال لامام الادب والبلاغة في عصره احمد بن عبد الحي الحلبي يضم نخبة مما نظمه في المدح النبوي مما ترق له القلوب وتسيل به العيون وتقشعر له الابدان لما امتاز به من بلاغة النظم ودقة السبك عرضله القلوب وتسيل به العيون وتقشعر له الابدان لما امتاز به من بلاغة النظم ودقة السبك,240,2007, دار الكتب العلمية, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,22.5
